maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.8893,crazyflie8,0.4999
20260129_010825,0.8964,crazyflie,0.4999
20260129_010825,0.8966,crazyflie3,0.4999
20260129_010825,0.8967,crazyflie10,0.3407
20260129_010825,0.8974,crazyflie2,0.4999
20260129_010825,0.8985,crazyflie9,0.3724
20260129_010825,0.9012,crazyflie4,0.4999
20260129_010825,0.9047,crazyflie6,0.4999
20260129_010825,0.9105,crazyflie5,0.4999
20260129_010825,0.9108,crazyflie7,0.4999
20260129_010825,0.9110,crazyflie8,0.4999
20260129_010825,0.9189,crazyflie,0.4999
20260129_010825,0.9191,crazyflie2,0.5000
20260129_010825,0.9192,crazyflie10,0.3408
20260129_010825,0.9199,crazyflie3,0.4999
20260129_010825,0.9219,crazyflie9,0.3956
20260129_010825,0.9236,crazyflie4,0.5000
20260129_010825,0.9280,crazyflie6,0.4999
20260129_010825,0.9333,crazyflie7,0.5000
20260129_010825,0.9335,crazyflie8,0.4999
20260129_010825,0.9340,crazyflie5,0.4999
20260129_010825,0.9408,crazyflie3,0.5000
20260129_010825,0.9409,crazyflie10,0.3408
20260129_010825,0.9413,crazyflie,0.5000
20260129_010825,0.9414,crazyflie2,0.5000
20260129_010825,0.9431,crazyflie9,0.4047
20260129_010825,0.9448,crazyflie4,0.5000
20260129_010825,0.9497,crazyflie6,0.5000
20260129_010825,0.9550,crazyflie5,0.4999
20260129_010825,0.9553,crazyflie7,0.5000
20260129_010825,0.9554,crazyflie8,0.5000
20260129_010825,0.9621,crazyflie,0.5000
20260129_010825,0.9625,crazyflie2,0.5000
20260129_010825,0.9626,crazyflie3,0.5000
20260129_010825,0.9627,crazyflie10,0.3404
20260129_010825,0.9637,crazyflie9,0.4015
20260129_010825,0.9659,crazyflie4,0.5000
20260129_010825,0.9704,crazyflie6,0.5000
20260129_010825,0.9754,crazyflie5,0.4999
20260129_010825,0.9755,crazyflie7,0.5000
20260129_010825,0.9756,crazyflie8,0.5000
20260129_010825,0.9842,crazyflie,0.5000
20260129_010825,0.9844,crazyflie2,0.5000
20260129_010825,0.9845,crazyflie3,0.5000
20260129_010825,0.9846,crazyflie10,0.3399
20260129_010825,0.9863,crazyflie9,0.3905
20260129_010825,0.9878,crazyflie4,0.5000
20260129_010825,0.9934,crazyflie6,0.5000
20260129_010825,0.9979,crazyflie5,0.4999
20260129_010825,0.9982,crazyflie7,0.5000
20260129_010825,0.9988,crazyflie8,0.5000
20260129_010825,1.0056,crazyflie2,0.5000
20260129_010825,1.0058,crazyflie3,0.5000
20260129_010825,1.0060,crazyflie10,0.3393
20260129_010825,1.0065,crazyflie,0.5000
20260129_010825,1.0075,crazyflie9,0.3768
20260129_010825,1.0107,crazyflie4,0.5000
20260129_010825,1.0143,crazyflie6,0.5000
20260129_010825,1.0214,crazyflie5,0.5000
20260129_010825,1.0216,crazyflie7,0.5000
20260129_010825,1.0218,crazyflie8,0.5000
20260129_010825,1.0289,crazyflie,0.5000
20260129_010825,1.0292,crazyflie2,0.5000
20260129_010825,1.0294,crazyflie3,0.5000
20260129_010825,1.0295,crazyflie10,0.3387
20260129_010825,1.0305,crazyflie9,0.3641
20260129_010825,1.0325,crazyflie4,0.5000
20260129_010825,1.0375,crazyflie6,0.5000
20260129_010825,1.0440,crazyflie5,0.5000
20260129_010825,1.0442,crazyflie7,0.5000
20260129_010825,1.0443,crazyflie8,0.5000
20260129_010825,1.0521,crazyflie,0.5000
20260129_010825,1.0523,crazyflie2,0.5000
20260129_010825,1.0524,crazyflie3,0.5000
20260129_010825,1.0525,crazyflie10,0.3381
20260129_010825,1.0546,crazyflie9,0.3541
20260129_010825,1.0569,crazyflie4,0.5000
20260129_010825,1.0616,crazyflie6,0.5000
